Date,FMCG Open,Corona Count,Stringency Index
30-Jan-20,31419.2,1,10.19
31-Jan-20,31099.25,2,10.19
01-Feb-20,30865.05,2,10.19
02-Feb-20,30865.05,2,10.19
03-Feb-20,30049.3,3,10.19
04-Feb-20,30614.05,3,10.19
05-Feb-20,30885.2,3,10.19
06-Feb-20,31055.4,3,10.19
07-Feb-20,30806.5,3,10.19
08-Feb-20,30806.5,3,10.19
09-Feb-20,30806.5,3,10.19
10-Feb-20,30863.7,3,10.19
11-Feb-20,30856.25,3,10.19
12-Feb-20,30494.95,3,10.19
13-Feb-20,30968.35,3,10.19
14-Feb-20,31036.9,3,10.19
15-Feb-20,31036.9,3,10.19
16-Feb-20,31036.9,3,10.19
17-Feb-20,30660.35,3,10.19
18-Feb-20,30463,3,10.19
19-Feb-20,30529.4,3,10.19
20-Feb-20,30807.75,3,10.19
21-Feb-20,30807.75,3,10.19
22-Feb-20,30807.75,3,10.19
23-Feb-20,30807.75,3,10.19
24-Feb-20,30545.5,3,10.19
25-Feb-20,30295.8,3,10.19
26-Feb-20,30155.1,3,10.19
27-Feb-20,29993.4,3,10.19
28-Feb-20,29468.4,3,10.19
29-Feb-20,29468.4,3,10.19
01-Mar-20,29468.4,3,10.19
02-Mar-20,29610.15,5,10.19
03-Mar-20,29350.45,6,10.19
04-Mar-20,29563.15,28,15.74
05-Mar-20,29333.25,30,26.85
06-Mar-20,28988.2,31,26.85
07-Mar-20,28988.2,34,26.85
08-Mar-20,28988.2,39,26.85
09-Mar-20,28466.25,44,26.85
10-Mar-20,28466.25,50,26.85
11-Mar-20,27697.95,60,26.85
12-Mar-20,27305.85,74,26.85
13-Mar-20,24896.85,81,33.33
14-Mar-20,24896.85,84,36.11
15-Mar-20,24896.85,110,38.89
16-Mar-20,25586.4,114,48.15
17-Mar-20,24850.5,137,48.15
18-Mar-20,25269.25,151,50
19-Mar-20,23695.9,173,59.72
20-Mar-20,24198.2,223,70.83
21-Mar-20,24198.2,315,76.39
22-Mar-20,24198.2,360,100
23-Mar-20,23950.55,468,86.57
24-Mar-20,24123.3,519,86.57
25-Mar-20,23804.85,606,100
26-Mar-20,24727.15,694,100
27-Mar-20,26382.25,834,100
28-Mar-20,26382.25,918,100
29-Mar-20,26382.25,1024,100
30-Mar-20,25218.5,1251,100
31-Mar-20,26472.75,1397,100
01-Apr-20,27346.95,1834,100
02-Apr-20,27346.95,2069,100
03-Apr-20,26716.5,2547,100
04-Apr-20,26716.5,3072,100
05-Apr-20,26716.5,3577,100
06-Apr-20,26716.5,4281,100
07-Apr-20,27491.6,4789,100
08-Apr-20,28600.25,5274,100
09-Apr-20,29500.75,5865,100
10-Apr-20,29500.75,6761,100
11-Apr-20,29500.75,7529,100
12-Apr-20,29500.75,8447,100
13-Apr-20,28913.3,9352,100
14-Apr-20,28913.3,10815,100
15-Apr-20,28979.6,11933,100
16-Apr-20,29563.45,12759,100
17-Apr-20,30202.75,13835,100
18-Apr-20,30202.75,14792,100
19-Apr-20,30202.75,16116,100
20-Apr-20,29490.25,17656,96.3
21-Apr-20,28134.3,18985,96.3
22-Apr-20,28453.35,20471,96.3
23-Apr-20,29278.45,21700,96.3
24-Apr-20,28736.45,23452,96.3
25-Apr-20,28736.45,24942,96.3
26-Apr-20,28736.45,26917,96.3
27-Apr-20,28805.2,28380,96.3
28-Apr-20,29208.9,29974,96.3
29-Apr-20,28887.5,31787,96.3
30-Apr-20,29078.45,33610,96.3
01-May-20,29078.45,35365,96.3
02-May-20,29078.45,37776,96.3
03-May-20,29078.45,40263,96.3
04-May-20,28197.45,42836,81.94
05-May-20,27815.7,46711,81.94
06-May-20,27061.5,49391,81.94
07-May-20,26402.25,52952,81.94
08-May-20,26809.4,56342,81.94
09-May-20,26809.4,59662,81.94
10-May-20,26809.4,62939,81.94
11-May-20,26895.65,67152,81.94
12-May-20,26571.05,70756,81.94
13-May-20,27761.9,74281,81.94
14-May-20,26618.1,78003,81.94
15-May-20,26969.4,81970,81.94
16-May-20,26969.4,85940,81.94
17-May-20,26969.4,90927,81.94
18-May-20,27057.5,96169,79.17
19-May-20,26895.2,101139,79.17
20-May-20,26995.1,106750,79.17
21-May-20,27366.5,112359,79.17
22-May-20,27843.25,118447,79.17
23-May-20,27843.25,125101,79.17
24-May-20,27843.25,131868,79.17
25-May-20,27843.25,138845,79.17
26-May-20,28071.7,145380,79.17
27-May-20,28226.25,151767,79.17
28-May-20,28223.1,158333,79.17
29-May-20,28374.75,165799,79.17
30-May-20,28374.75,173763,79.17
31-May-20,28374.75,182143,79.17
01-Jun-20,29579.45,190535,75.46
02-Jun-20,29751.55,198706,75.46
03-Jun-20,29704.1,207615,75.46
04-Jun-20,29573.25,216919,75.46
05-Jun-20,29789.35,226770,75.46
06-Jun-20,29789.35,236657,75.46
07-Jun-20,29789.35,246628,75.46
08-Jun-20,29891.3,256611,75.46
09-Jun-20,29507.25,266598,76.85
10-Jun-20,29645.2,276583,76.85
11-Jun-20,29552.1,286579,76.85
12-Jun-20,28356.65,297535,76.85
13-Jun-20,28356.65,308993,76.85
14-Jun-20,28356.65,320922,76.85
15-Jun-20,29187.5,332424,76.85
16-Jun-20,29081.2,343091,76.85
17-Jun-20,28517.9,354065,76.85
18-Jun-20,28402.3,366946,76.39
19-Jun-20,28784.1,380532,76.39
20-Jun-20,28784.1,395048,76.39
21-Jun-20,28784.1,410461,76.39
22-Jun-20,28961.05,425282,76.39
23-Jun-20,28993.35,440215,76.39
24-Jun-20,29568.2,456183,76.39
25-Jun-20,29378.25,473105,76.39
